Merchant Transactions as of 10/03/19  00:48 - bubbly2017 - Promo Cards,,,,,,,,
Period 08/03/19 to 09/03/19  -  Sirville - Sirville,,,,,,,,
Gross Total ...... 7044800,,,,,,,,
Discount Total ... ,,,,,,,,
Gratuity Total ... ,,,,,,,,
Nett Total ....... 7044800,,,,,,,,
,,,,,,,,
Terminal,Date,Time,Gross,Discount,Gratuity,Nett,Card,ID
Sirville,09/03/2019,17:37:09,12000,0,0,12000,0E1D0F53,1234
Sirville,09/03/2019,17:39:17,12000,0,0,12000,8EFEF952,1234
Sirville,09/03/2019,17:45:22,20000,0,0,20000,1E250C53,1234
Sirville,09/03/2019,17:46:42,10000,0,0,10000,5E5B49AF,1234
Sirville,09/03/2019,17:48:00,20000,0,0,20000,6ED8CCAE,1234
Sirville,09/03/2019,17:48:26,20000,0,0,20000,BE450D53,1234
Sirville,09/03/2019,17:49:48,24000,0,0,24000,8EB6DCAE,1234
Sirville,09/03/2019,17:51:14,30000,0,0,30000,AE21F2AE,1234
Sirville,09/03/2019,17:52:28,12000,0,0,12000,EE7EE0AE,1234
Sirville,09/03/2019,17:53:34,12000,0,0,12000,6ED8CCAE,1234
Sirville,09/03/2019,17:56:04,15000,0,0,15000,CE831053,1234
Sirville,09/03/2019,17:57:27,37000,0,0,37000,AEF31553,1234
Sirville,09/03/2019,18:01:08,10000,0,0,10000,8E050B53,1234
Sirville,09/03/2019,18:06:56,57000,0,0,57000,8EA2D7AE,1234
Sirville,09/03/2019,18:09:04,70000,0,0,70000,2EDF0853,1234
Sirville,09/03/2019,18:14:22,20000,0,0,20000,BED51253,1234
Sirville,09/03/2019,18:15:07,42000,0,0,42000,BE6B0953,1234
Sirville,09/03/2019,18:18:19,85000,0,0,85000,BE9315AF,1234
Sirville,09/03/2019,18:21:25,10000,0,0,10000,EE9FCBAE,1234
Sirville,09/03/2019,18:23:58,30000,0,0,30000,6EEEDEAE,1234
Sirville,09/03/2019,18:25:47,10000,0,0,10000,FE29D8AE,1234
Sirville,09/03/2019,18:32:05,35000,0,0,35000,FE29D8AE,1234
Sirville,09/03/2019,18:34:12,45000,0,0,45000,BEEF0E53,1234
Sirville,09/03/2019,18:35:28,45000,0,0,45000,2EC80853,1234
Sirville,09/03/2019,18:36:38,45000,0,0,45000,5E2AE9AE,1234
Sirville,09/03/2019,18:39:46,125000,0,0,125000,BE9315AF,1234
Sirville,09/03/2019,18:44:38,25000,0,0,25000,5ED2DAAE,1234
Sirville,09/03/2019,18:44:59,15000,0,0,15000,AECDDCAE,1234
Sirville,09/03/2019,18:45:18,25000,0,0,25000,DE91E0AE,1234
Sirville,09/03/2019,18:46:01,40000,0,0,40000,FE630C53,1234
Sirville,09/03/2019,18:53:26,35000,0,0,35000,AE32DDAE,1234
Sirville,09/03/2019,18:56:34,10000,0,0,10000,5E5B49AF,1234
Sirville,09/03/2019,18:56:44,10000,0,0,10000,5E0DDAAE,1234
Sirville,09/03/2019,19:02:32,10000,0,0,10000,1EAFEBAE,1234
Sirville,09/03/2019,19:02:52,10000,0,0,10000,5E0BDEAE,1234
Sirville,09/03/2019,19:04:22,15000,0,0,15000,3EDD0953,1234
Sirville,09/03/2019,19:06:56,215000,0,0,215000,DE051253,1234
Sirville,09/03/2019,19:10:41,10000,0,0,10000,6E4EF4AE,1234
Sirville,09/03/2019,19:14:35,10000,0,0,10000,AEEFF752,1234
Sirville,09/03/2019,19:16:44,120000,0,0,120000,9EC827AF,1234
Sirville,09/03/2019,19:19:06,15000,0,0,15000,8EFEF952,1234
Sirville,09/03/2019,19:19:45,45000,0,0,45000,3E2AE6AE,1234
Sirville,09/03/2019,19:20:34,50000,0,0,50000,6E77DEAE,1234
Sirville,09/03/2019,19:24:12,12000,0,0,12000,BE631653,1234
Sirville,09/03/2019,19:28:02,10000,0,0,10000,3E2AE6AE,1234
Sirville,09/03/2019,19:29:39,10000,0,0,10000,2EB00453,1234
Sirville,09/03/2019,19:31:40,15000,0,0,15000,AEF31553,1234
Sirville,09/03/2019,19:32:27,20000,0,0,20000,1EAFEBAE,1234
Sirville,09/03/2019,19:32:59,10000,0,0,10000,AEF60753,1234
Sirville,09/03/2019,19:34:05,15000,0,0,15000,8E8E1253,1234
Sirville,09/03/2019,19:36:17,10000,0,0,10000,BE76EAAE,1234
Sirville,09/03/2019,19:45:17,45000,0,0,45000,6E09DBAE,1234
Sirville,09/03/2019,19:48:32,10000,0,0,10000,DEE61653,1234
Sirville,09/03/2019,19:51:56,50000,0,0,50000,FECE0853,1234
Sirville,09/03/2019,19:58:48,100000,0,0,100000,5E0BDEAE,1234
Sirville,09/03/2019,20:03:38,24000,0,0,24000,FEC0D9AE,1234
Sirville,09/03/2019,20:08:20,12000,0,0,12000,0EF7DFAE,1234
Sirville,09/03/2019,20:11:49,55000,0,0,55000,4E8DDFAE,1234
Sirville,09/03/2019,20:19:54,10000,0,0,10000,FEAFDFAE,1234
Sirville,09/03/2019,20:27:49,30000,0,0,30000,0E8A1253,1234
Sirville,09/03/2019,20:29:00,15000,0,0,15000,7E180E53,1234
Sirville,09/03/2019,20:31:25,12000,0,0,12000,FEFC4AAF,1234
Sirville,09/03/2019,20:37:46,60000,0,0,60000,4EDCD6AE,1234
Sirville,09/03/2019,20:38:02,10000,0,0,10000,5E7C1753,1234
Sirville,09/03/2019,20:38:18,40000,0,0,40000,9EB4D5AE,1234
Sirville,09/03/2019,20:40:16,20000,0,0,20000,BEA2D6AE,1234
Sirville,09/03/2019,20:43:05,45000,0,0,45000,8E0E1253,1234
Sirville,09/03/2019,20:43:29,10000,0,0,10000,BE6B0953,1234
Sirville,09/03/2019,20:46:52,60000,0,0,60000,5E5B49AF,1234
Sirville,09/03/2019,20:49:04,10000,0,0,10000,9E59FC52,1234
Sirville,09/03/2019,20:50:39,20000,0,0,20000,CE57E7AE,1234
Sirville,09/03/2019,20:58:00,55000,0,0,55000,5E831253,1234
Sirville,09/03/2019,20:58:35,55000,0,0,55000,2E130953,1234
Sirville,09/03/2019,20:59:27,10000,0,0,10000,0EE00A53,1234
Sirville,09/03/2019,21:06:33,15000,0,0,15000,BEE331AF,1234
Sirville,09/03/2019,21:07:06,45000,0,0,45000,FEACDEAE,1234
Sirville,09/03/2019,21:12:45,60000,0,0,60000,1EA0D8AE,1234
Sirville,09/03/2019,21:13:22,30000,0,0,30000,FEACDEAE,1234
Sirville,09/03/2019,21:15:00,288000,0,0,288000,AE2E0D53,1234
Sirville,09/03/2019,21:16:05,55000,0,0,55000,0EE730AF,1234
Sirville,09/03/2019,21:19:00,30000,0,0,30000,DE120753,1234
Sirville,09/03/2019,21:20:11,30000,0,0,30000,AE22DEAE,1234
Sirville,09/03/2019,21:21:25,30000,0,0,30000,EE09E0AE,1234
Sirville,09/03/2019,21:22:02,10000,0,0,10000,EE6E0C53,1234
Sirville,09/03/2019,21:24:57,20000,0,0,20000,DEC21153,1234
Sirville,09/03/2019,21:26:12,25000,0,0,25000,9E64FC52,1234
Sirville,09/03/2019,21:26:24,25000,0,0,25000,7EB9F2AE,1234
Sirville,09/03/2019,21:30:15,12000,0,0,12000,7EFDE8AE,1234
Sirville,09/03/2019,21:30:32,30000,0,0,30000,7EFDE8AE,1234
Sirville,09/03/2019,21:41:23,20000,0,0,20000,1E4C1653,1234
Sirville,09/03/2019,21:46:37,10000,0,0,10000,0E9BE2AE,1234
Sirville,09/03/2019,21:51:16,55000,0,0,55000,2E641053,1234
Sirville,09/03/2019,21:59:56,10000,0,0,10000,1E4C1653,1234
Sirville,09/03/2019,22:01:23,40000,0,0,40000,BE31CEAE,1234
Sirville,09/03/2019,22:14:22,20000,0,0,20000,FE67D2AE,1234
Sirville,09/03/2019,22:15:41,32000,0,0,32000,4EDCD6AE,1234
Sirville,09/03/2019,22:17:49,10000,0,0,10000,1E140353,1234
Sirville,09/03/2019,22:19:21,12000,0,0,12000,AEE30B53,1234
Sirville,09/03/2019,22:23:20,15000,0,0,15000,7EB0D2AE,1234
Sirville,09/03/2019,22:34:02,40000,0,0,40000,7ECE0353,1234
Sirville,09/03/2019,22:34:25,10000,0,0,10000,8E9FDEAE,1234
Sirville,09/03/2019,22:37:03,10000,0,0,10000,EE64DDAE,1234
Sirville,09/03/2019,22:38:38,10000,0,0,10000,8E8E1253,1234
Sirville,09/03/2019,22:40:09,10000,0,0,10000,BE31CEAE,1234
Sirville,09/03/2019,22:41:07,12000,0,0,12000,AE40E1AE,1234
Sirville,09/03/2019,22:42:55,12000,0,0,12000,9EB4D5AE,1234
Sirville,09/03/2019,22:46:58,10000,0,0,10000,BE3B0C53,1234
Sirville,09/03/2019,22:47:59,1000,0,0,1000,7E7B1653,1234
Sirville,09/03/2019,22:51:15,10000,0,0,10000,7EB9F2AE,1234
Sirville,09/03/2019,22:51:28,10000,0,0,10000,AE870653,1234
Sirville,09/03/2019,22:52:12,27000,0,0,27000,4EE9DAAE,1234
Sirville,09/03/2019,22:53:19,20000,0,0,20000,EEBED5AE,1234
Sirville,09/03/2019,22:55:43,10000,0,0,10000,FE630C53,1234
Sirville,09/03/2019,23:00:45,20000,0,0,20000,8E61F6AE,1234
Sirville,09/03/2019,23:09:39,30000,0,0,30000,2E4D0753,1234
Sirville,09/03/2019,23:11:43,20000,0,0,20000,CE57E7AE,1234
Sirville,09/03/2019,23:14:45,90000,0,0,90000,9E7A1253,1234
Sirville,09/03/2019,23:23:02,10000,0,0,10000,1E140353,1234
Sirville,09/03/2019,23:24:05,10000,0,0,10000,EE64DDAE,1234
Sirville,09/03/2019,23:28:50,55000,0,0,55000,AE2E0D53,1234
Sirville,09/03/2019,23:42:06,20000,0,0,20000,AE22DEAE,1234
Sirville,09/03/2019,23:50:32,10000,0,0,10000,9E7EFA52,1234
Sirville,09/03/2019,23:53:30,20000,0,0,20000,DECE0C53,1234
Sirville,09/03/2019,23:55:26,25000,0,0,25000,BE631653,1234
Sirville,09/03/2019,23:56:06,10000,0,0,10000,AEE30B53,1234
Sirville,09/03/2019,23:57:16,15000,0,0,15000,BE450D53,1234
Sirville,09/03/2019,23:58:22,10000,0,0,10000,BE76EAAE,1234
,,,,,,,,
* END *,,,,,,,,
